datetime,temp,precip,windspeed
2013-01-01,43.8,0.17,13.5
2013-01-02,44.3,0.02,11.3
2013-01-03,51.5,0,14.1
2013-01-04,50,0.012,12.4
2013-01-05,48.9,0,10.7
2013-01-06,46.1,0,8.3
2013-01-07,47,0.012,10.8
2013-01-08,50.4,0,11.3
2013-01-09,45.7,0.02,7.3
2013-01-10,36.8,0.012,6.9
2013-01-11,37.4,0.012,5.3
2013-01-12,39,0.02,14.8
2013-01-13,37,0,10.5
2013-01-14,34.8,0.021,11.9
2013-01-15,35.3,0,14.7
2013-01-16,30.9,0,5.5
2013-01-17,32.6,0,7.6
2013-01-18,31.3,0.012,14.2
2013-01-19,33.1,0.039,13.2
2013-01-20,31.6,0.039,11.8
2013-01-21,31.9,0.118,4.9
2013-01-22,33.5,0.04,15.6
2013-01-23,36.4,0.051,11.2
2013-01-24,35.6,0,11.7
2013-01-25,34.6,0,14.1
2013-01-26,41.6,0.001,16.7
2013-01-27,46.9,0.061,24.1
2013-01-28,44.4,0.02,24.8
2013-01-29,53.7,0.02,22.7
2013-01-30,50.7,0.041,25.6
2013-01-31,48.2,0,23.4
2013-02-01,43.6,0.24,14.1
2013-02-02,40.2,0,15.3
2013-02-03,41.2,0,16.4
2013-02-04,48.7,0,19.4
2013-02-05,40.6,0,22.5
2013-02-06,41.1,0.039,17.8
2013-02-07,38.3,0.012,12.5
2013-02-08,38.6,0.117,11.6
2013-02-09,37.8,0.04,11.2
2013-02-10,38.4,0.281,14.6
2013-02-11,34.9,0.467,9.3
2013-02-12,35.6,0.02,8
2013-02-13,35.7,0,12.1
2013-02-14,46.5,0.06,15.7
2013-02-15,43.9,0,9
2013-02-16,44.9,0,5.7
2013-02-17,41.3,0,11.3
2013-02-18,40.2,0,10.8
2013-02-19,40.6,0,3.6
2013-02-20,38.4,0.04,15.3
2013-02-21,35.5,0,13.9
2013-02-22,34.4,0,13.9
2013-02-23,34.5,0,11
2013-02-24,35.4,0,12.4
2013-02-25,38.5,0,15
2013-02-26,39.7,0.012,14.1
2013-02-27,39.3,0.012,12.2
2013-02-28,40.3,0,12.3
2013-03-01,41.1,0.02,12.8
2013-03-02,38.5,0,9.2
2013-03-03,39.3,0,13
2013-03-04,41.1,0,11.8
2013-03-05,47.8,0,7.5
2013-03-06,50.7,0,7.7
2013-03-07,48,0.1,8.1
2013-03-08,48.8,0.35,6.6
2013-03-09,43.7,0.22,7.5
2013-03-10,37.2,0,16.4
2013-03-11,32.2,0,21.7
2013-03-12,34.6,0,21.9
2013-03-13,38.2,0.031,11.7
2013-03-14,38.3,0,8.1
2013-03-15,43.3,0.039,18.3
2013-03-16,44.6,0.159,21.3
2013-03-17,41.8,0.195,12.7
2013-03-18,39.1,0.349,5.1
2013-03-19,41.1,0.039,8
2013-03-20,39.8,0,8.1
2013-03-21,39.7,0,16.6
2013-03-22,39.2,0.021,19.3
2013-03-23,35.3,0.307,15.5
2013-03-24,33.6,0.02,14.3
