temp,windspeed,rain,HomeTeam,AwayTeam,HTHG,HTAG,HS,AS,HST,AST,HC,HY,AY,HR,AR,League Year,ExpectedBetHomeWin,ExpectedBetDraw,ExpectedBetAwayWin,FinalResult,Goal_Difference,Home_Attack,Home_Midfield,Home_Defence,Home_Overall,Away_Attack,Away_Midfield,Away_Defence,Away_Overall
63.1,19.2,0,Arsenal,Aston Villa,1.0,1.0,16.0,9.0,4.0,4.0,4.0,4.0,5.0,1.0,0.0,2013,1.4,4.8375,7.9375,0,0.0,79,81,80,80,72,71,74,74
63.1,19.2,0,Liverpool,Stoke,1.0,0.0,26.0,10.0,11.0,4.0,12.0,1.0,1.0,0.0,0.0,2013,1.3900000000000001,4.7325,9.0625,2,1.0,76,79,78,80,76,73,73,74
63.1,19.2,0,Norwich,Everton,0.0,0.0,8.0,19.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,2013,3.13,3.3375,2.3499999999999996,1,0.0,74,74,74,74,78,78,78,78
63.1,19.2,0,Sunderland,Fulham,0.0,0.0,20.0,5.0,3.0,1.0,6.0,0.0,3.0,0.0,0.0,2013,2.2625,3.3249999999999997,3.3125,0,0.0,74,73,73,74,71,74,72,75
63.1,19.2,0,Swansea,Man United,0.0,2.0,17.0,15.0,6.0,7.0,7.0,1.0,3.0,0.0,0.0,2013,4.025,3.5,1.9575,0,0.0,79,74,75,76,85,79,80,82
63.1,19.2,0,West Brom,Southampton,0.0,0.0,11.0,7.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2013,2.3375,3.3375,3.1550000000000002,0,0.0,70,74,72,74,76,76,73,75
63.1,19.2,0,West Ham,Cardiff,1.0,0.0,18.0,12.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,2013,1.965,3.525,3.95,2,1.0,76,74,72,74,72,70,73,72
66.4,13.9,0,Chelsea,Hull,2.0,0.0,22.0,7.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,2013,1.2025,6.4375,16.5,2,2.0,81,82,81,82,72,71,71,72
66.4,13.9,0,Crystal Palace,Tottenham,0.0,0.0,5.0,17.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2013,4.6875,3.7,1.7875,0,0.0,71,72,71,72,77,80,78,80
64.7,9.7,0,Man City,Newcastle,2.0,0.0,20.0,5.0,11.0,1.0,8.0,2.0,3.0,0.0,1.0,2013,1.3125,5.4375,10.3125,2,2.0,84,83,81,82,78,75,76,76
67.5,9.1,0,Chelsea,Aston Villa,1.0,1.0,15.0,7.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,2013,1.29,5.5,10.375,2,0.0,81,82,81,82,72,71,74,74
64.4,12.2,1,Aston Villa,Liverpool,0.0,1.0,17.0,5.0,3.0,1.0,8.0,3.0,3.0,0.0,0.0,2013,3.8625000000000003,3.6875,1.94,0,0.0,72,71,74,74,76,79,78,80
64.4,12.2,1,Everton,West Brom,0.0,0.0,22.0,7.0,8.0,2.0,11.0,1.0,1.0,0.0,0.0,2013,1.5625,4.1575,6.125,1,0.0,78,78,78,78,70,74,72,74
64.4,12.2,1,Fulham,Arsenal,0.0,2.0,16.0,18.0,7.0,7.0,1.0,2.0,2.0,0.0,0.0,2013,3.575,3.5,2.0875,0,0.0,71,74,72,75,79,81,80,80
64.4,12.2,1,Hull,Norwich,1.0,0.0,6.0,13.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2013,2.4375,3.25,3.0625,2,1.0,72,71,71,72,74,74,74,74
64.4,12.2,1,Newcastle,West Ham,0.0,0.0,16.0,6.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2013,2.2625,3.3249999999999997,3.3125,1,0.0,78,75,76,76,76,74,72,74
64.4,12.2,1,Southampton,Sunderland,0.0,1.0,17.0,8.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,2013,1.7,3.6999999999999997,5.25,1,0.0,76,76,73,75,74,73,73,74
64.4,12.2,1,Stoke,Crystal Palace,0.0,1.0,14.0,14.0,5.0,5.0,7.0,3.0,0.0,0.0,0.0,2013,1.8325,3.45,4.75,2,0.0,76,73,73,74,71,72,71,72
64.0,12.9,1,Cardiff,Man City,0.0,0.0,9.0,16.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,2013,7.9375,4.55,1.4275,2,0.0,72,70,73,72,84,83,81,82
64.0,12.9,1,Tottenham,Swansea,0.0,0.0,19.0,7.0,5.0,5.0,8.0,1.0,4.0,0.0,0.0,2013,1.6225,3.9375,5.875,2,0.0,77,80,78,80,79,74,75,76
67.7,11.3,0,Man United,Chelsea,0.0,0.0,13.0,8.0,3.0,4.0,4.0,0.0,2.0,0.0,0.0,2013,2.4125,3.45,2.9499999999999997,1,0.0,85,79,80,82,81,82,81,82
