League Year,Team Name,Attack,Midfield,Defence,Overall
2022,Manchester City,85,87,84,85
2022,Liverpool,84,82,84,84
2022,Chelsea,83,79,83,83
2022,Spurs,84,83,80,82
2022,Manchester Utd,82,83,81,82
2022,Arsenal,81,83,80,81
2022,Leicester City,82,80,76,79
2022,West Ham,79,80,78,79
2022,Newcastle Utd,79,78,79,79
2022,Aston Villa,78,79,79,79
2022,Wolves,78,80,74,78
2022,Everton,78,77,76,77
2022,Nott'm Forest,75,76,77,77
2022,Crystal Palace,77,76,76,76
2022,Leeds United,77,76,75,76
2022,Fulham,77,76,74,76
2022,Southampton,76,72,76,76
2022,Brighton,75,76,77,76
2022,Brentford,76,75,74,75
2022,AFC Bournemouth,72,73,73,74
