League Year,Team Name,Attack,Midfield,Defence,Overall
2022,Manchester City,85,87,84,85
2022,Liverpool,84,82,84,84
2022,Chelsea,83,79,83,83
2022,Spurs,84,83,80,82
2022,Manchester Utd,82,83,81,82
2022,Arsenal,81,83,80,81
2022,Leicester City,82,80,76,79
2022,West Ham,79,80,78,79
2022,Newcastle Utd,79,78,79,79
2022,Aston Villa,78,79,79,79
2022,Wolves,78,80,74,78
2022,Everton,78,77,76,77
2022,Nott'm Forest,75,76,77,77
2022,Crystal Palace,77,76,76,76
2022,Leeds United,77,76,75,76
2022,Fulham,77,76,74,76
2022,Southampton,76,72,76,76
2022,Brighton,75,76,77,76
2022,Brentford,76,75,74,75
2022,AFC Bournemouth,72,73,73,74
2021,Liverpool,86,84,85,85
2021,Manchester City,84,87,86,85
2021,Chelsea,84,85,83,84
2021,Manchester United,82,83,81,83
2021,Tottenham Hotspur,83,81,78,81
2021,Leicester City,80,80,78,80
2021,Arsenal,77,80,77,80
2021,West Ham United,80,78,78,79
2021,Aston Villa,79,78,79,78
2021,Wolverhampton Wanderers,78,80,78,78
2021,Everton,78,78,77,78
2021,Newcastle United,78,77,77,77
2021,Leeds United,77,77,75,76
2021,Crystal Palace,77,76,75,76
2021,Burnley,77,75,76,76
2021,Southampton,75,76,76,76
2021,Brighton & Hove Albion,75,73,77,76
2021,Brentford,74,75,74,74
2021,Watford,74,75,74,74
2021,Norwich City,75,73,73,73
2020,Liverpool,86,83,80,85
2020,Manchester City,85,86,83,85
2020,Tottenham Hotspur,89,82,81,82
2020,Manchester United,83,82,82,82
2020,Chelsea,82,84,82,82
2020,Arsenal,83,79,79,80
2020,Leicester City,80,81,79,80
2020,Everton,81,79,80,79
2020,Wolverhampton Wanderers,77,81,78,79
2020,West Ham United,79,79,77,78
2020,Aston Villa,76,77,77,77
2020,Leeds United,78,76,75,76
2020,Southampton,77,77,76,76
2020,Crystal Palace,77,75,75,76
2020,Newcastle United,77,75,74,76
2020,Burnley,75,76,77,76
2020,Brighton & Hove Albion,75,76,76,75
2020,Fulham,74,75,74,75
2020,West Bromwich Albion,74,74,72,74
2020,Sheffield United,71,74,73,73
2019,Manchester City,87,86,83,85
2019,Liverpool,87,83,85,85
2019,Tottenham Hotspur,85,82,82,82
2019,Manchester United,83,81,81,81
2019,Chelsea,80,84,81,81
2019,Arsenal,84,82,78,80
2019,Leicester City,80,79,79,79
2019,West Ham United,82,78,73,78
2019,Everton,80,78,79,78
2019,Wolverhampton Wanderers,79,79,78,78
2019,Watford,76,78,75,77
2019,Newcastle United,75,78,77,77
2019,Crystal Palace,73,77,76,77
2019,AFC Bournemouth,78,76,76,76
2019,Burnley,77,76,76,76
2019,Aston Villa,77,75,75,76
2019,Southampton,76,76,76,76
2019,Brighton & Hove Albion,75,76,76,76
2019,Sheffield United,73,77,75,75
2019,Norwich City,75,74,72,74
2018,Manchester City,86,88,82,85
2018,Tottenham Hotspur,86,82,83,83
2018,Liverpool,86,82,82,83
2018,Chelsea,85,83,82,83
2018,Manchester United,83,83,80,82
2018,Arsenal,82,83,80,82
2018,West Ham United,80,78,77,79
2018,Everton,77,80,79,79
2018,Leicester City,78,76,79,78
2018,Crystal Palace,79,77,76,77
